name,audio_name,audio_path,image_name,image_path,label,predict,confidence,result
01_block1_10_78_TA_2,01_block1_10_78_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_10_78_TA_2.wav,01_block1_10_78_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_10_78_TA_2.png,ta,pa,0.629650890827179,ta
01_block1_11_13_TA_3,01_block1_11_13_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_11_13_TA_3.wav,01_block1_11_13_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_11_13_TA_3.png,ta,ta,0.9074191451072692,ta
01_block1_12_14_TA_4,01_block1_12_14_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_12_14_TA_4.wav,01_block1_12_14_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_12_14_TA_4.png,,ta,0.9992490410804749,ta
01_block1_13_66_PA_6,01_block1_13_66_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_13_66_PA_6.wav,01_block1_13_66_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_13_66_PA_6.png,pa,pa,0.9586223363876344,pa
01_block1_14_64_PA_7,01_block1_14_64_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_14_64_PA_7.wav,01_block1_14_64_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_14_64_PA_7.png,,pa,0.9802796840667723,pa
01_block1_15_55_PA_8,01_block1_15_55_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_15_55_PA_8.wav,01_block1_15_55_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_15_55_PA_8.png,ta,,,ta
01_block1_16_80_PA_9,01_block1_16_80_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_16_80_PA_9.wav,01_block1_16_80_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_16_80_PA_9.png,,pa,0.982518434524536,pa
01_block1_17_49_TA_1,01_block1_17_49_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_17_49_TA_1.wav,01_block1_17_49_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_17_49_TA_1.png,ta,,,ta
01_block1_18_22_TA_2,01_block1_18_22_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_18_22_TA_2.wav,01_block1_18_22_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_18_22_TA_2.png,,ta,0.9646506905555724,ta
01_block1_19_40_TA_3,01_block1_19_40_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_19_40_TA_3.wav,01_block1_19_40_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_19_40_TA_3.png,ta,,,ta
01_block1_1_56_TA_1,01_block1_1_56_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_1_56_TA_1.wav,01_block1_1_56_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_1_56_TA_1.png,ta,ta,0.580399751663208,ta
01_block1_20_67_TA_4,01_block1_20_67_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_20_67_TA_4.wav,01_block1_20_67_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_20_67_TA_4.png,ta,,,ta
01_block1_21_17_PA_6,01_block1_21_17_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_21_17_PA_6.wav,01_block1_21_17_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_21_17_PA_6.png,pa,pa,0.958306849002838,pa
01_block1_22_4_PA_7,01_block1_22_4_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_22_4_PA_7.wav,01_block1_22_4_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_22_4_PA_7.png,,pa,0.9914148449897766,pa
01_block1_23_20_PA_8,01_block1_23_20_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_23_20_PA_8.wav,01_block1_23_20_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_23_20_PA_8.png,,pa,0.9645473957061768,pa
01_block1_24_62_PA_9,01_block1_24_62_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_24_62_PA_9.wav,01_block1_24_62_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_24_62_PA_9.png,,pa,0.988720715045929,pa
