name,audio_name,audio_path,image_name,image_path,label
50_block1_30_30_TA_7,50_block1_30_30_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_30_30_TA_7.wav,50_block1_30_30_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_30_30_TA_7.png,pa
50_block1_32_26_TA_9,50_block1_32_26_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_32_26_TA_9.wav,50_block1_32_26_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_32_26_TA_9.png,pa
50_block1_5_71_TA_6,50_block1_5_71_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_5_71_TA_6.wav,50_block1_5_71_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_5_71_TA_6.png,ta
50_block1_39_61_TA_8,50_block1_39_61_TA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_39_61_TA_8.wav,50_block1_39_61_TA_8.png,/Users/hela/Code/pata/spectrograms/50_block1_39_61_TA_8.png,ta
50_block2_32_103_PA_9,50_block2_32_103_PA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_32_103_PA_9.wav,50_block2_32_103_PA_9.png,/Users/hela/Code/pata/spectrograms/50_block2_32_103_PA_9.png,pa
50_block1_24_40_TA_9,50_block1_24_40_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_24_40_TA_9.wav,50_block1_24_40_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_24_40_TA_9.png,ta
50_block2_12_86_TA_4,50_block2_12_86_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_12_86_TA_4.wav,50_block2_12_86_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_12_86_TA_4.png,ta
50_block2_23_158_PA_8,50_block2_23_158_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_23_158_PA_8.wav,50_block2_23_158_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_23_158_PA_8.png,pa
50_block2_58_114_TA_2,50_block2_58_114_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_58_114_TA_2.wav,50_block2_58_114_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_58_114_TA_2.png,ta
50_block1_75_53_PA_3,50_block1_75_53_PA_3.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_75_53_PA_3.wav,50_block1_75_53_PA_3.png,/Users/hela/Code/pata/spectrograms/50_block1_75_53_PA_3.png,pa
50_block1_77_31_TA_6,50_block1_77_31_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_77_31_TA_6.wav,50_block1_77_31_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_77_31_TA_6.png,pa
50_block2_44_134_TA_4,50_block2_44_134_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_44_134_TA_4.wav,50_block2_44_134_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_44_134_TA_4.png,pa
50_block1_18_51_PA_2,50_block1_18_51_PA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_18_51_PA_2.wav,50_block1_18_51_PA_2.png,/Users/hela/Code/pata/spectrograms/50_block1_18_51_PA_2.png,pa
50_block2_28_88_TA_4,50_block2_28_88_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_28_88_TA_4.wav,50_block2_28_88_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_28_88_TA_4.png,ta
50_block1_65_4_PA_1,50_block1_65_4_PA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_65_4_PA_1.wav,50_block1_65_4_PA_1.png,/Users/hela/Code/pata/spectrograms/50_block1_65_4_PA_1.png,ta
50_block2_45_155_PA_6,50_block2_45_155_PA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_45_155_PA_6.wav,50_block2_45_155_PA_6.png,/Users/hela/Code/pata/spectrograms/50_block2_45_155_PA_6.png,pa
50_block2_25_141_TA_1,50_block2_25_141_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_25_141_TA_1.wav,50_block2_25_141_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_25_141_TA_1.png,ta
50_block1_40_38_TA_9,50_block1_40_38_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_40_38_TA_9.wav,50_block1_40_38_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_40_38_TA_9.png,ta
50_block1_28_70_PA_4,50_block1_28_70_PA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_28_70_PA_4.wav,50_block1_28_70_PA_4.png,/Users/hela/Code/pata/spectrograms/50_block1_28_70_PA_4.png,pa
50_block1_45_37_TA_6,50_block1_45_37_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_45_37_TA_6.wav,50_block1_45_37_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_45_37_TA_6.png,ta
50_block1_38_48_TA_7,50_block1_38_48_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_38_48_TA_7.wav,50_block1_38_48_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_38_48_TA_7.png,ta
50_block1_48_50_TA_9,50_block1_48_50_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_48_50_TA_9.wav,50_block1_48_50_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_48_50_TA_9.png,ta
50_block1_17_64_PA_1,50_block1_17_64_PA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_17_64_PA_1.wav,50_block1_17_64_PA_1.png,/Users/hela/Code/pata/spectrograms/50_block1_17_64_PA_1.png,pa
50_block2_61_149_PA_6,50_block2_61_149_PA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_61_149_PA_6.wav,50_block2_61_149_PA_6.png,/Users/hela/Code/pata/spectrograms/50_block2_61_149_PA_6.png,pa
50_block2_57_98_TA_1,50_block2_57_98_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_57_98_TA_1.wav,50_block2_57_98_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_57_98_TA_1.png,ta
50_block1_22_67_TA_7,50_block1_22_67_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_22_67_TA_7.wav,50_block1_22_67_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_22_67_TA_7.png,ta
50_block2_3_145_TA_3,50_block2_3_145_TA_3.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_3_145_TA_3.wav,50_block2_3_145_TA_3.png,/Users/hela/Code/pata/spectrograms/50_block2_3_145_TA_3.png,ta
50_block2_20_111_TA_4,50_block2_20_111_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_20_111_TA_4.wav,50_block2_20_111_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_20_111_TA_4.png,ta
50_block1_14_72_TA_7,50_block1_14_72_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_14_72_TA_7.wav,50_block1_14_72_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_14_72_TA_7.png,ta
50_block1_56_22_TA_9,50_block1_56_22_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_56_22_TA_9.wav,50_block1_56_22_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_56_22_TA_9.png,pa
50_block2_6_160_PA_7,50_block2_6_160_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_6_160_PA_7.wav,50_block2_6_160_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_6_160_PA_7.png,pa
50_block2_60_81_TA_4,50_block2_60_81_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_60_81_TA_4.wav,50_block2_60_81_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_60_81_TA_4.png,ta
50_block2_7_127_PA_8,50_block2_7_127_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_7_127_PA_8.wav,50_block2_7_127_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_7_127_PA_8.png,pa
50_block1_54_18_TA_7,50_block1_54_18_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_54_18_TA_7.wav,50_block1_54_18_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_54_18_TA_7.png,pa
50_block2_4_108_TA_4,50_block2_4_108_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_4_108_TA_4.wav,50_block2_4_108_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_4_108_TA_4.png,ta
50_block2_1_144_TA_1,50_block2_1_144_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_1_144_TA_1.wav,50_block2_1_144_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_1_144_TA_1.png,ta
50_block2_72_154_PA_9,50_block2_72_154_PA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_72_154_PA_9.wav,50_block2_72_154_PA_9.png,/Users/hela/Code/pata/spectrograms/50_block2_72_154_PA_9.png,pa
50_block2_67_156_TA_3,50_block2_67_156_TA_3.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_67_156_TA_3.wav,50_block2_67_156_TA_3.png,/Users/hela/Code/pata/spectrograms/50_block2_67_156_TA_3.png,ta
50_block1_42_80_PA_2,50_block1_42_80_PA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_42_80_PA_2.wav,50_block1_42_80_PA_2.png,/Users/hela/Code/pata/spectrograms/50_block1_42_80_PA_2.png,pa
50_block2_46_143_PA_7,50_block2_46_143_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_46_143_PA_7.wav,50_block2_46_143_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_46_143_PA_7.png,pa
50_block2_15_131_PA_8,50_block2_15_131_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_15_131_PA_8.wav,50_block2_15_131_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_15_131_PA_8.png,pa
50_block1_73_13_PA_1,50_block1_73_13_PA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_73_13_PA_1.wav,50_block1_73_13_PA_1.png,/Users/hela/Code/pata/spectrograms/50_block1_73_13_PA_1.png,ta
50_block1_13_62_TA_6,50_block1_13_62_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_13_62_TA_6.wav,50_block1_13_62_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_13_62_TA_6.png,ta
