name,audio_name,audio_path,image_name,image_path,label,predict,confidence
50_block1_69_7_TA_6,50_block1_69_7_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_69_7_TA_6.wav,50_block1_69_7_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_69_7_TA_6.png,pa,pa,0.7445778846740723
50_block2_65_151_TA_1,50_block2_65_151_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_65_151_TA_1.wav,50_block2_65_151_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_65_151_TA_1.png,ta,ta,0.9088016152381896
50_block2_16_109_PA_9,50_block2_16_109_PA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_16_109_PA_9.wav,50_block2_16_109_PA_9.png,/Users/hela/Code/pata/spectrograms/50_block2_16_109_PA_9.png,pa,ta,0.71466463804245
50_block2_22_102_PA_7,50_block2_22_102_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_22_102_PA_7.wav,50_block2_22_102_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_22_102_PA_7.png,pa,pa,0.7012661099433899
50_block2_74_128_TA_2,50_block2_74_128_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_74_128_TA_2.wav,50_block2_74_128_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_74_128_TA_2.png,,ta,0.9963628649711608
50_block2_79_126_PA_8,50_block2_79_126_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_79_126_PA_8.wav,50_block2_79_126_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_79_126_PA_8.png,pa,pa,0.8969979286193848
50_block2_66_117_TA_2,50_block2_66_117_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_66_117_TA_2.wav,50_block2_66_117_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_66_117_TA_2.png,,ta,0.9999295473098756
50_block2_9_106_TA_1,50_block2_9_106_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_9_106_TA_1.wav,50_block2_9_106_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_9_106_TA_1.png,ta,ta,0.9157646894454956
50_block2_18_136_TA_2,50_block2_18_136_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_18_136_TA_2.wav,50_block2_18_136_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_18_136_TA_2.png,,ta,0.9987621307373048
50_block1_50_63_PA_2,50_block1_50_63_PA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_50_63_PA_2.wav,50_block1_50_63_PA_2.png,/Users/hela/Code/pata/spectrograms/50_block1_50_63_PA_2.png,pa,pa,0.8698770403862
