name,audio_name,audio_path,image_name,image_path,label
50_block1_69_7_TA_6,50_block1_69_7_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_69_7_TA_6.wav,50_block1_69_7_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_69_7_TA_6.png,
50_block2_65_151_TA_1,50_block2_65_151_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_65_151_TA_1.wav,50_block2_65_151_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_65_151_TA_1.png,
50_block1_30_30_TA_7,50_block1_30_30_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_30_30_TA_7.wav,50_block1_30_30_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_30_30_TA_7.png,
50_block1_32_26_TA_9,50_block1_32_26_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_32_26_TA_9.wav,50_block1_32_26_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_32_26_TA_9.png,
50_block1_5_71_TA_6,50_block1_5_71_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_5_71_TA_6.wav,50_block1_5_71_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_5_71_TA_6.png,
50_block2_16_109_PA_9,50_block2_16_109_PA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_16_109_PA_9.wav,50_block2_16_109_PA_9.png,/Users/hela/Code/pata/spectrograms/50_block2_16_109_PA_9.png,
50_block1_39_61_TA_8,50_block1_39_61_TA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_39_61_TA_8.wav,50_block1_39_61_TA_8.png,/Users/hela/Code/pata/spectrograms/50_block1_39_61_TA_8.png,
50_block2_32_103_PA_9,50_block2_32_103_PA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_32_103_PA_9.wav,50_block2_32_103_PA_9.png,/Users/hela/Code/pata/spectrograms/50_block2_32_103_PA_9.png,
50_block2_22_102_PA_7,50_block2_22_102_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_22_102_PA_7.wav,50_block2_22_102_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_22_102_PA_7.png,
50_block2_74_128_TA_2,50_block2_74_128_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_74_128_TA_2.wav,50_block2_74_128_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_74_128_TA_2.png,
50_block2_79_126_PA_8,50_block2_79_126_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_79_126_PA_8.wav,50_block2_79_126_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_79_126_PA_8.png,
50_block2_66_117_TA_2,50_block2_66_117_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_66_117_TA_2.wav,50_block2_66_117_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_66_117_TA_2.png,
50_block2_9_106_TA_1,50_block2_9_106_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_9_106_TA_1.wav,50_block2_9_106_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_9_106_TA_1.png,
50_block2_18_136_TA_2,50_block2_18_136_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_18_136_TA_2.wav,50_block2_18_136_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_18_136_TA_2.png,
50_block1_24_40_TA_9,50_block1_24_40_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_24_40_TA_9.wav,50_block1_24_40_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_24_40_TA_9.png,
50_block2_12_86_TA_4,50_block2_12_86_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_12_86_TA_4.wav,50_block2_12_86_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_12_86_TA_4.png,
50_block1_50_63_PA_2,50_block1_50_63_PA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_50_63_PA_2.wav,50_block1_50_63_PA_2.png,/Users/hela/Code/pata/spectrograms/50_block1_50_63_PA_2.png,
50_block2_21_89_PA_6,50_block2_21_89_PA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_21_89_PA_6.wav,50_block2_21_89_PA_6.png,/Users/hela/Code/pata/spectrograms/50_block2_21_89_PA_6.png,
50_block2_31_159_PA_8,50_block2_31_159_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_31_159_PA_8.wav,50_block2_31_159_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_31_159_PA_8.png,
50_block1_64_39_TA_9,50_block1_64_39_TA_9.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_64_39_TA_9.wav,50_block1_64_39_TA_9.png,/Users/hela/Code/pata/spectrograms/50_block1_64_39_TA_9.png,
50_block2_23_158_PA_8,50_block2_23_158_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_23_158_PA_8.wav,50_block2_23_158_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_23_158_PA_8.png,
50_block2_58_114_TA_2,50_block2_58_114_TA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_58_114_TA_2.wav,50_block2_58_114_TA_2.png,/Users/hela/Code/pata/spectrograms/50_block2_58_114_TA_2.png,
50_block2_37_84_PA_6,50_block2_37_84_PA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_37_84_PA_6.wav,50_block2_37_84_PA_6.png,/Users/hela/Code/pata/spectrograms/50_block2_37_84_PA_6.png,
50_block1_75_53_PA_3,50_block1_75_53_PA_3.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_75_53_PA_3.wav,50_block1_75_53_PA_3.png,/Users/hela/Code/pata/spectrograms/50_block1_75_53_PA_3.png,
50_block1_77_31_TA_6,50_block1_77_31_TA_6.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_77_31_TA_6.wav,50_block1_77_31_TA_6.png,/Users/hela/Code/pata/spectrograms/50_block1_77_31_TA_6.png,
50_block2_30_115_PA_7,50_block2_30_115_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_30_115_PA_7.wav,50_block2_30_115_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_30_115_PA_7.png,
50_block2_71_153_PA_8,50_block2_71_153_PA_8.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_71_153_PA_8.wav,50_block2_71_153_PA_8.png,/Users/hela/Code/pata/spectrograms/50_block2_71_153_PA_8.png,
50_block2_44_134_TA_4,50_block2_44_134_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_44_134_TA_4.wav,50_block2_44_134_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_44_134_TA_4.png,
50_block2_75_129_TA_3,50_block2_75_129_TA_3.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_75_129_TA_3.wav,50_block2_75_129_TA_3.png,/Users/hela/Code/pata/spectrograms/50_block2_75_129_TA_3.png,
50_block2_41_130_TA_1,50_block2_41_130_TA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_41_130_TA_1.wav,50_block2_41_130_TA_1.png,/Users/hela/Code/pata/spectrograms/50_block2_41_130_TA_1.png,
50_block1_4_15_PA_4,50_block1_4_15_PA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_4_15_PA_4.wav,50_block1_4_15_PA_4.png,/Users/hela/Code/pata/spectrograms/50_block1_4_15_PA_4.png,
50_block2_78_148_PA_7,50_block2_78_148_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_78_148_PA_7.wav,50_block2_78_148_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_78_148_PA_7.png,
50_block1_18_51_PA_2,50_block1_18_51_PA_2.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_18_51_PA_2.wav,50_block1_18_51_PA_2.png,/Users/hela/Code/pata/spectrograms/50_block1_18_51_PA_2.png,
50_block1_6_29_TA_7,50_block1_6_29_TA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_6_29_TA_7.wav,50_block1_6_29_TA_7.png,/Users/hela/Code/pata/spectrograms/50_block1_6_29_TA_7.png,
50_block2_28_88_TA_4,50_block2_28_88_TA_4.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_28_88_TA_4.wav,50_block2_28_88_TA_4.png,/Users/hela/Code/pata/spectrograms/50_block2_28_88_TA_4.png,
50_block1_65_4_PA_1,50_block1_65_4_PA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_65_4_PA_1.wav,50_block1_65_4_PA_1.png,/Users/hela/Code/pata/spectrograms/50_block1_65_4_PA_1.png,
50_block2_70_94_PA_7,50_block2_70_94_PA_7.wav,/Users/hela/Code/pata/Audio_data/50/50_block2_70_94_PA_7.wav,50_block2_70_94_PA_7.png,/Users/hela/Code/pata/spectrograms/50_block2_70_94_PA_7.png,
50_block1_33_75_PA_1,50_block1_33_75_PA_1.wav,/Users/hela/Code/pata/Audio_data/50/50_block1_33_75_PA_1.wav,50_block1_33_75_PA_1.png,/Users/hela/Code/pata/spectrograms/50_block1_33_75_PA_1.png,
